name,a_code,h_code
第一拖拉机股份,SH601038,00038
四川成渝高速公路,SH601107,00107
青岛啤酒股份,SH600600,00168
江苏宁沪高速公路,SH600377,00177
京城机电股份,SH600860,00187
美的集团,SZ000333,00300
中船防务,SH600685,00317
马鞍山钢铁股份,SH600808,00323
上海石油化工股份,SH600688,00338
鞍钢股份,SZ000898,00347
江西铜业股份,SH600362,00358
中国石油化工股份,SH600028,00386
中国中铁,SH601390,00390
先导智能,SZ300450,00470
豪威集团,SH603501,00501
广深铁路股份,SH601333,00525
深圳高速公路股份,SH600548,00548
南京熊猫电子股份,SH600775,00553
中创智领,SH601717,00564
山东墨龙,SZ002490,00568
北京北辰实业股份,SH601588,00588
中国外运,SH601598,00598
广和通,SZ300638,00638
安克创新,SZ300866,00668
中国东方航空股份,SH600115,00670
均胜电子,SH600699,00699
山东新华制药股份,SZ000756,00719
中国电信,SH601728,00728
中国国航,SH601111,00753
中兴通讯,SZ000063,00763
新华文轩,SH601811,00811
中国石油股份,SH601857,00857
白云山,SH600332,00874
东江环保,SZ002672,00895
华能国际电力股份,SH600011,00902
海螺水泥,SH600585,00914
龙源电力,SZ001289,00916
海信家电,SZ000921,00921
建设银行,SH601939,00939
中国移动,SH600941,00941
中芯国际,SH688981,00981
大唐发电,SH601991,00991
安徽皖通高速公路,SH600012,00995
中信银行,SH601998,00998
中石化油服,SH600871,01033
重庆钢铁股份,SH601005,01053
中国南方航空股份,SH600029,01055
浙江世宝,SZ002703,01057
天津创业环保股份,SH600874,01065
华电国际电力股份,SH600027,01071
东方电气,SH600875,01072
大金重工,SZ002487,01081
中国神华,SH601088,01088
凯盛新能,SH600876,01108
中远海能,SH600026,01138
中联重科,SZ000157,01157
兖矿能源,SH600188,01171
中国铁建,SH601186,01186
可孚医疗,SZ301087,01187
比亚迪股份,SZ002594,01211
恒瑞医药,SH600276,01276
农业银行,SH601288,01288
峰岹科技,SH688279,01304
新华保险,SH601336,01336
中国人民保险集团,SH601319,01339
复旦张江,SH688505,01349
工商银行,SH601398,01398
国联民生,SH601456,01456
丽珠医药,SZ000513,01513
红星美凯龙,SH601828,01528
中国中冶,SH601618,01618
大众公用,SH600635,01635
邮储银行,SH601658,01658
领益智造,SZ002600,01688
中国中车,SH601766,01766
赣锋锂业,SZ002460,01772
广发证券,SZ000776,01776
山东黄金,SH600547,01787
中国交通建设,SH601800,01800
晨鸣纸业,SZ000488,01812
春立医疗,SH688236,01858
君实生物,SH688180,01877
中国中免,SH601888,01880
中煤能源,SH601898,01898
中远海控,SH601919,01919
重庆银行,SH601963,01963
民生银行,SH600016,01988
广合科技,SZ001389,01989
金隅集团,SH601992,02009
浙商银行,SH601916,02016
中集集团,SZ000039,02039
三花智控,SZ002050,02050
中铝国际,SH601068,02068
复星医药,SH600196,02196
万科企业,SZ000002,02202
金风科技,SZ002202,02208
广汽集团,SH601238,02238
中国平安,SH601318,02318
长城汽车,SH601633,02333
潍柴动力,SZ000338,02338
药明康德,SH603259,02359
亿华通,SH688339,02402
龙蟠科技,SH603906,02465
胜宏科技,SZ300476,02476
中伟新材,SZ300919,02579
中国铝业,SH601600,02600
中国太保,SH601601,02601
吉宏股份,SZ002803,02603
上海医药,SH601607,02607
国泰海通,SH601211,02611
中国人寿,SH601628,02628
天岳先进,SH688234,02631
安井食品,SH603345,02648
纳芯微,SH688052,02676
兆威机电,SZ003021,02692
国民技术,SZ300077,02701
牧原股份,SZ002714,02714
埃斯顿,SZ002747,02715
上海电气,SH601727,02727
钧达股份,SZ002865,02865
中远海发,SH601866,02866
辽港股份,SH601880,02880
中海油田服务,SH601808,02883
紫金矿业,SH601899,02899
大族数控,SZ301200,03200
美格智能,SZ002881,03268
海天味业,SH603288,03288
华勤技术,SH603296,03296
交通银行,SH601328,03328
泰格医药,SZ300347,03347
秦港股份,SH601326,03369
福耀玻璃,SH600660,03606
圣邦股份,SZ300661,03661
弘业期货,SZ001236,03678
宁德时代,SZ300750,03750
康龙化成,SZ300759,03759
青岛银行,SZ002948,03866
时代电气,SH688187,03898
中金公司,SH601995,03908
东方证券,SH600958,03958
招商银行,SH600036,03968
中国通号,SH688009,03969
兆易创新,SH603986,03986
中国银行,SH601988,03988
洛阳钼业,SH603993,03993
中信证券,SH600030,06030
三一重工,SH600031,06031
星源材质,SZ300568,06067
招商证券,SH600999,06099
昭衍新药,SH603127,06127
百济神州,SH688235,06160
剑桥科技,SH603083,06166
光大证券,SH601788,06178
郑州银行,SZ002936,06196
青岛港,SH601298,06198
蓝思科技,SZ300433,06613
华新建材,SH600801,06655
金力永磁,SZ300748,06680
海尔智家,SH600690,06690
赤峰黄金,SH600988,06693
申万宏源,SZ000166,06806
澜起科技,SH688008,06809
中国光大银行,SH601818,06818
凯莱英,SZ002821,06821
中国银河,SH601881,06881
华泰证券,SH601688,06886
顺丰控股,SZ002352,06936
龙旗科技,SH603341,09611
芯碁微装,SH688630,09630
天齐锂业,SZ002466,09696
赛力斯,SH601127,09927
诺诚健华,SH688428,09969
东鹏饮料,SH605499,09980
沃尔核材,SZ002130,09981
海普瑞,SZ002399,09989
荣昌生物,SH688331,09995
